iter	Logloss
0	0.6865852708
1	0.6807814232
2	0.6745290579
3	0.6687059615
4	0.6602055034
5	0.6523862341
6	0.6449579234
7	0.6376837135
8	0.6272280771
9	0.6205306071
10	0.615178764
11	0.6111343589
12	0.6056883617
13	0.6004798249
14	0.5963115552
15	0.5916002496
16	0.5874477093
17	0.582551285
18	0.5788581999
19	0.574276882
20	0.5680355136
21	0.5634805134
22	0.5600025779
23	0.5536723505
24	0.5479033017
25	0.5391431424
26	0.5361328622
27	0.5323673029
28	0.5247620379
29	0.5215610778
30	0.5166505974
31	0.5113885202
32	0.5044997989
33	0.50001453
34	0.4957051693
35	0.4890802717
36	0.4854047445
37	0.4830204403
38	0.4799659525
39	0.4767322859
40	0.4733269078
41	0.466655173
42	0.4621162463
43	0.455750782
44	0.4527426404
45	0.44898423
46	0.446043776
47	0.4434690045
48	0.4383612739
49	0.4352809967
50	0.4327638566
51	0.428081511
52	0.4228414121
53	0.4209340859
54	0.4182342404
55	0.4162441057
56	0.4139306706
57	0.4116797786
58	0.409828144
59	0.407800092
60	0.4057270348
61	0.4035863568
62	0.4017734413
63	0.3990339088
64	0.3960932808
65	0.3937961868
66	0.3907271048
67	0.3892145025
68	0.3852523741
69	0.3837218585
70	0.3821074048
71	0.3792858651
72	0.37654051
73	0.3745203188
74	0.3720035093
75	0.3691938595
76	0.3676222501
77	0.3663501644
78	0.3636892953
79	0.3621741088
80	0.3605454161
81	0.3580276642
82	0.3566111735
83	0.354999247
84	0.3533424318
85	0.352051182
86	0.3485188373
87	0.3462706418
88	0.3451521914
89	0.3433754863
90	0.3414163631
91	0.3391617296
92	0.3377872029
93	0.3360816283
94	0.3343415101
95	0.3330547648
96	0.3297943947
97	0.3286696017
98	0.3275049686
99	0.3264270076
