iter	Passed	Remaining
0	159	15785
1	171	8379
2	179	5809
3	186	4474
4	192	3656
5	199	3127
6	204	2718
7	209	2413
8	215	2177
9	220	1983
10	225	1824
11	231	1696
12	236	1583
13	241	1485
14	247	1400
15	252	1325
16	257	1257
17	263	1198
18	268	1143
19	273	1094
20	280	1057
21	285	1013
22	290	973
23	297	941
24	303	910
25	310	882
26	315	853
27	320	824
28	326	800
29	332	775
30	338	752
31	345	733
32	351	713
33	358	696
34	364	677
35	371	659
36	377	642
37	383	625
38	389	608
39	395	593
40	401	577
41	408	564
42	415	550
43	422	537
44	428	523
45	434	510
46	441	497
47	447	484
48	453	472
49	462	462
50	468	450
51	475	439
52	482	427
53	489	416
54	495	405
55	501	394
56	509	384
57	516	373
58	524	364
59	530	353
60	537	343
61	545	334
62	551	323
63	558	314
64	564	304
65	571	294
66	578	284
67	584	274
68	591	265
69	597	255
70	603	246
71	610	237
72	616	228
73	622	218
74	629	209
75	636	200
76	642	191
77	648	182
78	656	174
79	662	165
80	668	156
81	675	148
82	681	139
83	688	131
84	694	122
85	700	114
86	707	105
87	713	97
88	720	89
89	726	80
90	733	72
91	739	64
92	745	56
93	751	47
94	758	39
95	764	31
96	771	23
97	778	15
98	786	7
99	794	0
