iter	Passed	Remaining
0	169	16767
1	188	9248
2	207	6723
3	228	5478
4	248	4723
5	269	4225
6	290	3856
7	310	3574
8	329	3332
9	341	3071
10	350	2835
11	359	2636
12	368	2466
13	377	2321
14	386	2192
15	395	2078
16	406	1982
17	415	1892
18	424	1810
19	433	1735
20	443	1668
21	452	1605
22	462	1547
23	471	1492
24	480	1441
25	489	1394
26	498	1348
27	508	1306
28	517	1266
29	526	1228
30	536	1193
31	545	1159
32	555	1127
33	564	1096
34	573	1065
35	583	1037
36	592	1009
37	602	982
38	611	955
39	620	930
40	629	906
41	639	882
42	648	860
43	658	837
44	667	815
45	676	794
46	685	773
47	694	752
48	703	732
49	713	713
50	722	693
51	731	675
52	740	657
53	750	639
54	759	621
55	768	603
56	778	587
57	790	572
58	799	555
59	809	539
60	818	523
61	827	507
62	839	493
63	848	477
64	858	462
65	867	446
66	876	431
67	885	416
68	894	402
69	904	387
70	912	372
71	923	358
72	932	344
73	941	330
74	950	316
75	960	303
76	969	289
77	978	275
78	987	262
79	996	249
80	1005	235
81	1014	222
82	1023	209
83	1032	196
84	1041	183
85	1050	171
86	1059	158
87	1068	145
88	1077	133
89	1087	120
90	1096	108
91	1106	96
92	1115	83
93	1124	71
94	1133	59
95	1141	47
96	1151	35
97	1160	23
98	1170	11
99	1180	0
