iter	Logloss
0	0.6854269973
1	0.6783611483
2	0.6743669264
3	0.6709513301
4	0.6641686674
5	0.6605828729
6	0.6556665509
7	0.6512696091
8	0.6479218019
9	0.645748137
10	0.6401119677
11	0.6363218657
12	0.6347396348
13	0.6322257727
14	0.6278789459
15	0.6244142994
16	0.6216693822
17	0.6195015265
18	0.6171215472
19	0.614713975
20	0.6114798571
21	0.6098552018
22	0.606389804
23	0.6029500369
24	0.6009053909
25	0.5988363717
26	0.5973312769
27	0.5948501921
28	0.5931464658
29	0.5914759042
30	0.5895532125
31	0.5877660018
32	0.5861095325
33	0.5843150345
34	0.5831033985
35	0.5818919594
36	0.5806889991
37	0.5782893216
38	0.5759320159
39	0.5729728311
40	0.5703356966
41	0.5688896655
42	0.5676257217
43	0.5655665733
44	0.5624677735
45	0.560680849
46	0.558530739
47	0.5567041231
48	0.5553298035
49	0.5540819221
50	0.5528596577
51	0.5499585736
52	0.5478809675
53	0.5468909995
54	0.5454081449
55	0.5424244194
56	0.5407948678
57	0.5380976933
58	0.5369702093
59	0.535567183
60	0.5330580946
61	0.5320115382
62	0.5309031699
63	0.5290028023
64	0.5280359647
65	0.5269308269
66	0.5254849593
67	0.5240368337
68	0.5226644167
69	0.52043891
70	0.5193352947
71	0.5173180456
72	0.5160012118
73	0.5148532962
74	0.5140886461
75	0.5131735885
76	0.5124066583
77	0.5113313199
78	0.5106971587
79	0.5096009069
80	0.5083400652
81	0.5071938504
82	0.5058522203
83	0.504476293
84	0.503006399
85	0.5015647807
86	0.5006183797
87	0.4998617195
88	0.498843092
89	0.4978032118
90	0.496968983
91	0.4958024548
92	0.4948238879
93	0.4936937087
94	0.4926985997
95	0.4914337175
96	0.4901329039
97	0.4889124284
98	0.4879291547
99	0.4866742709
