iter	Passed	Remaining
0	205	20307
1	272	13364
2	337	10915
3	407	9773
4	477	9071
5	548	8596
6	616	8184
7	685	7888
8	753	7618
9	818	7369
10	889	7195
11	966	7091
12	1045	6995
13	1143	7025
14	1236	7004
15	1319	6926
16	1410	6888
17	1495	6811
18	1580	6738
19	1657	6630
20	1746	6570
21	1833	6498
22	1932	6470
23	2038	6454
24	2149	6447
25	2276	6479
26	2386	6453
27	2491	6405
28	2584	6328
29	2670	6231
30	2752	6127
31	2841	6038
32	2927	5943
33	3011	5846
34	3099	5756
35	3183	5659
36	3265	5560
37	3348	5463
38	3430	5365
39	3514	5271
40	3600	5181
41	3684	5087
42	3761	4986
43	3842	4891
44	3923	4795
45	4007	4704
46	4085	4607
47	4160	4506
48	4245	4418
49	4330	4330
50	4407	4234
51	4485	4140
52	4573	4055
53	4650	3961
54	4734	3873
55	4824	3790
56	4904	3699
57	4985	3610
58	5065	3520
59	5148	3432
60	5237	3348
61	5327	3265
62	5407	3175
63	5494	3090
64	5580	3004
65	5665	2918
66	5754	2834
67	5836	2746
68	5920	2659
69	6001	2572
70	6087	2486
71	6166	2398
72	6256	2313
73	6334	2225
74	6423	2141
75	6513	2057
76	6597	1970
77	6682	1884
78	6759	1796
79	6839	1709
80	6915	1622
81	7005	1537
82	7096	1453
83	7185	1368
84	7274	1283
85	7352	1196
86	7430	1110
87	7515	1024
88	7594	938
89	7677	853
90	7758	767
91	7839	681
92	7925	596
93	8000	510
94	8090	425
95	8175	340
96	8254	255
97	8340	170
98	8430	85
99	8515	0
